Datetime,Heating Demand (kWh),Cooling Demand (kWh),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-04 00:00:00,5.403525602,495.9847045,72,8689
2006-Jan-04 01:00:00,4.507983329,494.2450561,73,8688
2006-Jan-04 02:00:00,5.870476429,493.4451783,74,8687
2006-Jan-04 03:00:00,9.75835517,493.2258472,75,8686
2006-Jan-04 04:00:00,46.43893105,492.8753138,76,8685
2006-Jan-04 05:00:00,268.9925399,492.6772291,77,8684
2006-Jan-04 06:00:00,381.9389315,470.4972843,78,8683
2006-Jan-04 07:00:00,568.5617201,497.3911391,79,8682
2006-Jan-04 08:00:00,597.2399365,495.9807311,80,8681
2006-Jan-04 09:00:00,338.5226718,497.5562928,81,8680
2006-Jan-04 10:00:00,332.6391247,500.157859,82,8679
2006-Jan-04 11:00:00,252.9158193,501.2926955,83,8678
2006-Jan-04 12:00:00,251.6324604,501.8453835,84,8677
2006-Jan-04 13:00:00,266.5503234,502.2186236,85,8676
2006-Jan-04 14:00:00,182.4357855,502.9671426,86,8675
2006-Jan-04 15:00:00,114.8889831,504.9357461,87,8674
2006-Jan-04 16:00:00,229.0510938,508.218698,88,8673
2006-Jan-04 17:00:00,316.4210317,509.8367291,89,8672
2006-Jan-04 18:00:00,591.3845328,509.7561565,90,8671
2006-Jan-04 19:00:00,668.8926044,505.8330186,91,8670
2006-Jan-04 20:00:00,541.8337359,503.205165,92,8669
2006-Jan-04 21:00:00,359.2132956,501.6215109,93,8668
2006-Jan-04 22:00:00,316.11852,500.3776645,94,8667
2006-Jan-04 23:00:00,4.793134786,499.3871069,95,8666
2006-Jan-05 00:00:00,4.786908949,497.5947292,96,8665
2006-Jan-05 01:00:00,3.310070402,496.8368006,97,8664
2006-Jan-05 02:00:00,3.024936662,495.3666057,98,8663
2006-Jan-05 03:00:00,5.538682245,494.7787734,99,8662
2006-Jan-05 04:00:00,4.357964004,494.7050674,100,8661
2006-Jan-05 05:00:00,173.106272,494.7131714,101,8660
2006-Jan-05 06:00:00,328.7542391,494.5751421,102,8659
2006-Jan-05 07:00:00,503.8385713,494.0091658,103,8658
2006-Jan-05 08:00:00,480.8132656,523.7362255,104,8657
2006-Jan-05 09:00:00,353.2018899,497.4373084,105,8656
2006-Jan-05 10:00:00,369.9806503,499.6413891,106,8655
2006-Jan-05 11:00:00,311.757614,501.0578428,107,8654
2006-Jan-05 12:00:00,219.6100233,501.9171418,108,8653
2006-Jan-05 13:00:00,202.2452024,543.211111,109,8652
2006-Jan-05 14:00:00,224.5161783,627.8622948,110,8651
2006-Jan-05 15:00:00,226.4706898,637.5797391,111,8650
2006-Jan-05 16:00:00,252.4854568,689.9442494,112,8649
2006-Jan-05 17:00:00,315.2880775,597.670363,113,8648
2006-Jan-05 18:00:00,588.5975563,510.0461177,114,8647
2006-Jan-05 19:00:00,524.6179091,507.9902211,115,8646
2006-Jan-05 20:00:00,658.3814668,503.8436609,116,8645
2006-Jan-05 21:00:00,268.9529085,501.2127794,117,8644
2006-Jan-05 22:00:00,333.1842467,499.7802827,118,8643
2006-Jan-05 23:00:00,4.791136214,498.6433205,119,8642
2006-Jan-06 00:00:00,4.786742163,497.1784975,120,8641
2006-Jan-06 01:00:00,0,496.5206077,121,8640
2006-Jan-06 02:00:00,0,495.0763102,122,8639
2006-Jan-06 03:00:00,0,494.7595144,123,8638
2006-Jan-06 04:00:00,0,495.0086747,124,8637
2006-Jan-06 05:00:00,46.03552969,494.0430925,125,8636
2006-Jan-06 06:00:00,228.8073693,473.153602,126,8635
2006-Jan-06 07:00:00,363.5622129,499.8366331,127,8634
2006-Jan-06 08:00:00,406.8626205,495.9374523,128,8633
2006-Jan-06 09:00:00,289.4020258,498.0485671,129,8632
2006-Jan-06 10:00:00,245.9208399,527.2156782,130,8631
2006-Jan-06 11:00:00,270.406299,697.9873144,131,8630
2006-Jan-06 12:00:00,372.7394002,868.5412612,132,8629
2006-Jan-06 13:00:00,253.2761766,962.2712882,133,8628
2006-Jan-06 14:00:00,284.4375539,1050.314154,134,8627
2006-Jan-06 15:00:00,335.3703909,1135.146183,135,8626
2006-Jan-06 16:00:00,221.4601432,1018.977224,136,8625
2006-Jan-06 17:00:00,306.6685698,961.553149,137,8624
2006-Jan-06 18:00:00,372.3298832,791.1097494,138,8623
2006-Jan-06 19:00:00,630.3408834,675.7296533,139,8622
2006-Jan-06 20:00:00,563.9465539,644.7190965,140,8621
2006-Jan-06 21:00:00,635.5163776,672.1405531,141,8620
2006-Jan-06 22:00:00,291.5463897,595.4198915,142,8619
2006-Jan-06 23:00:00,4.794352718,529.4865153,143,8618
2006-Jan-07 00:00:00,4.793266238,497.0601588,144,8617
2006-Jan-07 01:00:00,0,524.13441,145,8616
2006-Jan-07 02:00:00,4.361943787,496.11747,146,8615
2006-Jan-07 03:00:00,5.220937787,502.4875624,147,8614
2006-Jan-07 04:00:00,8.361989567,514.326894,148,8613
2006-Jan-07 05:00:00,161.964395,502.0222538,149,8612
2006-Jan-07 06:00:00,296.0416936,474.5835344,150,8611
2006-Jan-07 07:00:00,369.8453351,556.9853762,151,8610
2006-Jan-07 08:00:00,296.6670921,573.335555,152,8609
2006-Jan-07 09:00:00,366.8514755,656.7310474,153,8608
2006-Jan-07 10:00:00,207.4449964,798.186452,154,8607
2006-Jan-07 11:00:00,173.7822774,912.3626499,155,8606
2006-Jan-07 12:00:00,154.6009264,961.3166488,156,8605
2006-Jan-07 13:00:00,156.3208741,997.6335296,157,8604
2006-Jan-07 14:00:00,144.0311216,1003.125813,158,8603
2006-Jan-07 15:00:00,148.4277284,993.7530087,159,8602
2006-Jan-07 16:00:00,171.6143325,993.3680533,160,8601
2006-Jan-07 17:00:00,268.7968188,968.2308133,161,8600
2006-Jan-07 18:00:00,264.4030587,957.8478809,162,8599
2006-Jan-07 19:00:00,6.716764853,544.7874243,163,8598
2006-Jan-07 20:00:00,10.50822185,495.9545752,164,8597
2006-Jan-07 21:00:00,15.52033983,543.7082907,165,8596
2006-Jan-07 22:00:00,20.19463956,497.3092799,166,8595
2006-Jan-07 23:00:00,20.22854454,535.0385383,167,8594
2006-Jan-08 00:00:00,40.38674724,497.7769848,168,8593
2006-Jan-08 01:00:00,39.4376512,526.4723387,169,8592
2006-Jan-08 02:00:00,23.09703973,497.6019394,170,8591
2006-Jan-08 03:00:00,43.78684322,512.8290744,171,8590
2006-Jan-08 04:00:00,86.34533029,497.2309184,172,8589
2006-Jan-08 05:00:00,81.88680399,512.6413396,173,8588
2006-Jan-08 06:00:00,106.3954923,497.1544133,174,8587
2006-Jan-08 07:00:00,93.9179036,513.7641399,175,8586
2006-Jan-08 08:00:00,109.3216365,475.8808367,176,8585
2006-Jan-08 09:00:00,52.39120829,518.7074649,177,8584
2006-Jan-08 10:00:00,42.58800351,500.5258803,178,8583
2006-Jan-08 11:00:00,12.48689116,604.6111794,179,8582
2006-Jan-08 12:00:00,11.20602268,497.7227999,180,8581
2006-Jan-08 13:00:00,11.12226706,516.5379631,181,8580
2006-Jan-08 14:00:00,11.69456181,579.6326155,182,8579
2006-Jan-08 15:00:00,9.346296865,523.3353136,183,8578
2006-Jan-08 16:00:00,8.61036905,498.9787696,184,8577
2006-Jan-08 17:00:00,10.16462171,525.2790884,185,8576
2006-Jan-08 18:00:00,24.65878463,571.8766621,186,8575
2006-Jan-08 19:00:00,44.73643326,516.3140259,187,8574
2006-Jan-08 20:00:00,48.97981837,497.3897705,188,8573
2006-Jan-08 21:00:00,56.99973773,509.9614309,189,8572
2006-Jan-08 22:00:00,58.5735246,497.5121438,190,8571
2006-Jan-08 23:00:00,56.7767361,507.2899215,191,8570
2006-Jan-09 00:00:00,63.41081768,497.4236054,192,8569
2006-Jan-09 01:00:00,59.97508569,540.7469718,193,8568
2006-Jan-09 02:00:00,52.04771926,495.8576095,194,8567
2006-Jan-09 03:00:00,32.99641676,509.8247684,195,8566
2006-Jan-09 04:00:00,33.25486337,495.8475607,196,8565
2006-Jan-09 05:00:00,239.9024541,518.7186422,197,8564
2006-Jan-09 06:00:00,339.668493,476.3016917,198,8563
2006-Jan-09 07:00:00,650.1119089,756.3266376,199,8562
2006-Jan-09 08:00:00,551.6064353,857.6745897,200,8561
2006-Jan-09 09:00:00,436.9444237,989.4078534,201,8560
2006-Jan-09 10:00:00,450.3891836,580.9876991,202,8559
2006-Jan-09 11:00:00,229.2217709,529.8266257,203,8558
2006-Jan-09 12:00:00,185.8045319,532.1769829,204,8557
2006-Jan-09 13:00:00,257.2774235,554.0685129,205,8556
2006-Jan-09 14:00:00,145.5520766,566.1344001,206,8555
2006-Jan-09 15:00:00,116.5653704,544.2304379,207,8554
2006-Jan-09 16:00:00,186.7643151,656.3679636,208,8553
2006-Jan-09 17:00:00,275.4305109,582.3825179,209,8552
2006-Jan-09 18:00:00,599.599797,509.0310494,210,8551
2006-Jan-09 19:00:00,256.168763,507.256304,211,8550
2006-Jan-09 20:00:00,261.8576292,503.5968656,212,8549
2006-Jan-09 21:00:00,585.9695497,501.0807395,213,8548
2006-Jan-09 22:00:00,512.3477022,499.786857,214,8547
2006-Jan-09 23:00:00,4.820328698,498.6357997,215,8546
2006-Jan-10 00:00:00,4.818926061,497.2756906,216,8545
2006-Jan-10 01:00:00,0,496.7110493,217,8544
2006-Jan-10 02:00:00,0,495.415671,218,8543
2006-Jan-10 03:00:00,0,495.0219737,219,8542
2006-Jan-10 04:00:00,0,495.241088,220,8541
2006-Jan-10 05:00:00,64.09416948,494.2006958,221,8540
2006-Jan-10 06:00:00,257.2782546,472.9985827,222,8539
2006-Jan-10 07:00:00,377.4492477,499.6398151,223,8538
2006-Jan-10 08:00:00,461.7224601,582.586106,224,8537
2006-Jan-10 09:00:00,300.1160659,498.2966169,225,8536
2006-Jan-10 10:00:00,195.3173858,499.9955914,226,8535
2006-Jan-10 11:00:00,216.0927315,501.1209232,227,8534
2006-Jan-10 12:00:00,230.3926024,501.9793738,228,8533
2006-Jan-10 13:00:00,179.4311356,502.3098511,229,8532
2006-Jan-10 14:00:00,217.2735044,503.0730494,230,8531
2006-Jan-10 15:00:00,243.4826726,504.3619238,231,8530
2006-Jan-10 16:00:00,156.6714466,505.717985,232,8529
2006-Jan-10 17:00:00,294.3907566,506.8425069,233,8528
2006-Jan-10 18:00:00,500.5400228,505.6108204,234,8527
2006-Jan-10 19:00:00,521.3902376,502.8516061,235,8526
2006-Jan-10 20:00:00,593.1003304,501.117053,236,8525
2006-Jan-10 21:00:00,202.2685939,499.9180519,237,8524
2006-Jan-10 22:00:00,199.8987315,499.2372203,238,8523
2006-Jan-10 23:00:00,4.82796576,498.566787,239,8522
2006-Jan-11 00:00:00,4.823948952,496.5907595,240,8521
2006-Jan-11 01:00:00,0,495.6655677,241,8520
2006-Jan-11 02:00:00,0,495.5280665,242,8519
2006-Jan-11 03:00:00,0,493.9661797,243,8518
2006-Jan-11 04:00:00,0,493.1668401,244,8517
2006-Jan-11 05:00:00,14.89133661,492.7925574,245,8516
2006-Jan-11 06:00:00,246.8037841,492.5973715,246,8515
2006-Jan-11 07:00:00,337.889404,492.6912496,247,8514
2006-Jan-11 08:00:00,521.7157306,558.7370584,248,8513
2006-Jan-11 09:00:00,309.5601009,497.2713282,249,8512
2006-Jan-11 10:00:00,263.2824917,500.0542281,250,8511
2006-Jan-11 11:00:00,421.9645787,501.4869243,251,8510
2006-Jan-11 12:00:00,408.3658782,502.4163267,252,8509
2006-Jan-11 13:00:00,214.6793545,502.9278465,253,8508
2006-Jan-11 14:00:00,308.5978133,503.6213693,254,8507
2006-Jan-11 15:00:00,420.5445012,505.3621786,255,8506
2006-Jan-11 16:00:00,456.3347636,508.5598941,256,8505
2006-Jan-11 17:00:00,214.1154945,510.5018388,257,8504
2006-Jan-11 18:00:00,568.7372462,510.4390519,258,8503
2006-Jan-11 19:00:00,590.8435586,539.9416317,259,8502
2006-Jan-11 20:00:00,522.5238625,552.6934581,260,8501
2006-Jan-11 21:00:00,605.3607508,501.3373017,261,8500
2006-Jan-11 22:00:00,273.1610482,500.3299322,262,8499
2006-Jan-11 23:00:00,4.833703711,499.2132965,263,8498
2006-Jan-12 00:00:00,4.829422444,498.6117936,264,8497
2006-Jan-12 01:00:00,0,496.8862476,265,8496
2006-Jan-12 02:00:00,0,496.073857,266,8495
2006-Jan-12 03:00:00,0,495.6066459,267,8494
2006-Jan-12 04:00:00,0,495.3229722,268,8493
2006-Jan-12 05:00:00,15.93406089,495.1162038,269,8492
2006-Jan-12 06:00:00,259.9138264,494.8340061,270,8491
2006-Jan-12 07:00:00,348.1463482,494.3156241,271,8490
2006-Jan-12 08:00:00,718.8961107,495.0707623,272,8489
2006-Jan-12 09:00:00,256.3074098,498.2371522,273,8488
2006-Jan-12 10:00:00,202.6460904,500.5828601,274,8487
2006-Jan-12 11:00:00,211.3853173,502.1106096,275,8486
2006-Jan-12 12:00:00,210.3360146,535.5566329,276,8485
2006-Jan-12 13:00:00,214.9652525,587.3569742,277,8484
2006-Jan-12 14:00:00,252.546271,661.9351522,278,8483
2006-Jan-12 15:00:00,263.6986675,647.0531402,279,8482
2006-Jan-12 16:00:00,253.2808485,604.0913546,280,8481
2006-Jan-12 17:00:00,176.2957624,540.8994514,281,8480
2006-Jan-12 18:00:00,306.905904,505.1403625,282,8479
2006-Jan-12 19:00:00,624.2173348,502.1799215,283,8478
2006-Jan-12 20:00:00,559.5023673,500.6679153,284,8477
2006-Jan-12 21:00:00,649.1818777,499.4436603,285,8476
2006-Jan-12 22:00:00,450.3146849,498.8697484,286,8475
2006-Jan-12 23:00:00,4.839215109,497.8825429,287,8474
2006-Jan-13 00:00:00,4.835119624,496.428098,288,8473
2006-Jan-13 01:00:00,0,496.1265074,289,8472
2006-Jan-13 02:00:00,0,494.8863844,290,8471
2006-Jan-13 03:00:00,2.160674044,494.5399141,291,8470
2006-Jan-13 04:00:00,3.652610232,494.7273961,292,8469
2006-Jan-13 05:00:00,118.560955,493.8962757,293,8468
2006-Jan-13 06:00:00,276.1535313,473.0386381,294,8467
2006-Jan-13 07:00:00,390.4418363,499.7607166,295,8466
2006-Jan-13 08:00:00,395.9136981,497.0862017,296,8465
2006-Jan-13 09:00:00,272.5178933,497.9842226,297,8464
2006-Jan-13 10:00:00,292.9533862,499.5570704,298,8463
2006-Jan-13 11:00:00,231.1060264,501.2397876,299,8462
2006-Jan-13 12:00:00,149.8224633,502.2664749,300,8461
2006-Jan-13 13:00:00,189.5798581,502.5709818,301,8460
2006-Jan-13 14:00:00,188.0317324,502.9358489,302,8459
2006-Jan-13 15:00:00,343.1204618,535.2314908,303,8458
2006-Jan-13 16:00:00,250.4374841,536.9091232,304,8457
2006-Jan-13 17:00:00,363.0324622,537.7302688,305,8456
2006-Jan-13 18:00:00,410.4275497,504.0011334,306,8455
2006-Jan-13 19:00:00,582.421525,501.3546541,307,8454
2006-Jan-13 20:00:00,517.6646689,499.9767329,308,8453
2006-Jan-13 21:00:00,666.4121029,498.6621436,309,8452
2006-Jan-13 22:00:00,522.1644814,498.0070018,310,8451
2006-Jan-13 23:00:00,4.835638513,497.0454887,311,8450
2006-Jan-14 00:00:00,4.843004696,496.3770927,312,8449
2006-Jan-14 01:00:00,0,496.4262524,313,8448
2006-Jan-14 02:00:00,2.101774591,495.1034443,314,8447
2006-Jan-14 03:00:00,4.835322897,494.408309,315,8446
2006-Jan-14 04:00:00,7.602647783,494.3729644,316,8445
2006-Jan-14 05:00:00,149.9209283,494.5302238,317,8444
2006-Jan-14 06:00:00,285.4446621,473.3120523,318,8443
2006-Jan-14 07:00:00,443.8005126,499.8156064,319,8442
2006-Jan-14 08:00:00,442.3257701,496.3389376,320,8441
2006-Jan-14 09:00:00,461.3643436,496.0999204,321,8440
2006-Jan-14 10:00:00,622.721879,496.4512073,322,8439
2006-Jan-14 11:00:00,291.4222251,527.8865323,323,8438
2006-Jan-14 12:00:00,543.0188115,596.8495357,324,8437
2006-Jan-14 13:00:00,343.9074344,681.8378609,325,8436
2006-Jan-14 14:00:00,137.2870726,730.5680015,326,8435
2006-Jan-14 15:00:00,142.2845336,762.3491216,327,8434
2006-Jan-14 16:00:00,322.1502345,731.1627417,328,8433
2006-Jan-14 17:00:00,324.069345,731.4595054,329,8432
2006-Jan-14 18:00:00,289.9680295,671.5734994,330,8431
2006-Jan-14 19:00:00,6.773056294,510.3888632,331,8430
2006-Jan-14 20:00:00,6.789339999,493.1855275,332,8429
2006-Jan-14 21:00:00,6.774645202,517.6645472,333,8428
2006-Jan-14 22:00:00,8.723244075,494.1146744,334,8427
2006-Jan-14 23:00:00,4.839500349,511.524794,335,8426
2006-Jan-15 00:00:00,4.840056622,494.3692499,336,8425
2006-Jan-15 01:00:00,0,511.6271908,337,8424
2006-Jan-15 02:00:00,0,494.4229176,338,8423
2006-Jan-15 03:00:00,0,505.8876369,339,8422
2006-Jan-15 04:00:00,0,494.2189538,340,8421
2006-Jan-15 05:00:00,0,503.3718003,341,8420
2006-Jan-15 06:00:00,0,494.1517641,342,8419
2006-Jan-15 07:00:00,7.923635495,503.2039522,343,8418
2006-Jan-15 08:00:00,5.062319121,473.9651233,344,8417
2006-Jan-15 09:00:00,3.889942487,508.6732274,345,8416
2006-Jan-15 10:00:00,3.871025142,497.0967633,346,8415
2006-Jan-15 11:00:00,3.887193971,512.5977176,347,8414
2006-Jan-15 12:00:00,5.814827347,496.7592417,348,8413
2006-Jan-15 13:00:00,5.814259472,519.2840969,349,8412
2006-Jan-15 14:00:00,8.732013044,498.5234031,350,8411
2006-Jan-15 15:00:00,5.824522481,521.8848973,351,8410
2006-Jan-15 16:00:00,3.872372134,499.9962971,352,8409
2006-Jan-15 17:00:00,5.533740101,518.2870432,353,8408
2006-Jan-15 18:00:00,6.86578405,499.5535655,354,8407
2006-Jan-15 19:00:00,8.504926241,507.9137113,355,8406
2006-Jan-15 20:00:00,8.797289118,497.8438279,356,8405
2006-Jan-15 21:00:00,8.238613392,506.3312725,357,8404
2006-Jan-15 22:00:00,10.89407023,496.9920845,358,8403
2006-Jan-15 23:00:00,7.152797843,506.1821382,359,8402
2006-Jan-16 00:00:00,7.402221487,496.4492966,360,8401
2006-Jan-16 01:00:00,8.941125754,498.998369,361,8400
2006-Jan-16 02:00:00,12.06156888,501.7712737,362,8399
2006-Jan-16 03:00:00,15.9253926,497.5693702,363,8398
2006-Jan-16 04:00:00,39.85670362,494.4466214,364,8397
2006-Jan-16 05:00:00,239.3620016,497.5403564,365,8396
2006-Jan-16 06:00:00,483.782952,475.0321357,366,8395
2006-Jan-16 07:00:00,556.3214374,583.7666158,367,8394
2006-Jan-16 08:00:00,520.0589857,540.2202697,368,8393
2006-Jan-16 09:00:00,506.0885492,664.2642608,369,8392
2006-Jan-16 10:00:00,312.4619269,709.9553298,370,8391
2006-Jan-16 11:00:00,264.0965897,687.5099508,371,8390
2006-Jan-16 12:00:00,190.7592895,691.1277358,372,8389
2006-Jan-16 13:00:00,224.1193608,678.5637168,373,8388
2006-Jan-16 14:00:00,240.9040449,705.2260236,374,8387
2006-Jan-16 15:00:00,231.1625586,721.7861888,375,8386
2006-Jan-16 16:00:00,256.5503652,713.0067465,376,8385
2006-Jan-16 17:00:00,293.9280185,715.6550803,377,8384
2006-Jan-16 18:00:00,652.5636661,623.7558567,378,8383
2006-Jan-16 19:00:00,320.171257,611.0550414,379,8382
2006-Jan-16 20:00:00,353.4642996,584.5461179,380,8381
2006-Jan-16 21:00:00,371.90667,582.9535723,381,8380
2006-Jan-16 22:00:00,395.5018332,582.0983084,382,8379
2006-Jan-16 23:00:00,5.949175727,534.6277261,383,8378
2006-Jan-17 00:00:00,13.18027687,496.4863402,384,8377
2006-Jan-17 01:00:00,12.01041776,539.4461658,385,8376
2006-Jan-17 02:00:00,12.0552934,495.6719186,386,8375
2006-Jan-17 03:00:00,32.66952507,504.5020102,387,8374
2006-Jan-17 04:00:00,57.14216402,494.3481169,388,8373
2006-Jan-17 05:00:00,214.2866841,497.1698973,389,8372
2006-Jan-17 06:00:00,483.3303133,474.1231288,390,8371
2006-Jan-17 07:00:00,592.3599276,501.8397185,391,8370
2006-Jan-17 08:00:00,653.1615317,498.2114611,392,8369
2006-Jan-17 09:00:00,416.4570817,498.3184939,393,8368
2006-Jan-17 10:00:00,487.9214345,499.7268405,394,8367
2006-Jan-17 11:00:00,288.4912752,500.7981368,395,8366
2006-Jan-17 12:00:00,237.0419697,501.4712334,396,8365
2006-Jan-17 13:00:00,284.9543146,501.9706986,397,8364
2006-Jan-17 14:00:00,329.9560198,502.7384342,398,8363
2006-Jan-17 15:00:00,184.7072293,503.3745413,399,8362
2006-Jan-17 16:00:00,170.3101601,505.5558043,400,8361
2006-Jan-17 17:00:00,279.9531798,505.9311108,401,8360
2006-Jan-17 18:00:00,659.0298532,503.4701849,402,8359
2006-Jan-17 19:00:00,344.8304126,501.3461236,403,8358
2006-Jan-17 20:00:00,364.9281405,500.1152577,404,8357
2006-Jan-17 21:00:00,413.2791865,521.3466377,405,8356
2006-Jan-17 22:00:00,425.1065661,498.440175,406,8355
2006-Jan-17 23:00:00,4.858919821,496.4671001,407,8354
2006-Jan-18 00:00:00,10.26126246,495.3094508,408,8353
2006-Jan-18 01:00:00,8.803276556,495.4045819,409,8352
2006-Jan-18 02:00:00,12.54123907,494.2416718,410,8351
2006-Jan-18 03:00:00,7.91501075,493.6819213,411,8350
2006-Jan-18 04:00:00,12.76170454,493.470458,412,8349
2006-Jan-18 05:00:00,182.5975338,492.1985688,413,8348
2006-Jan-18 06:00:00,336.532138,470.7058026,414,8347
2006-Jan-18 07:00:00,515.3121631,497.1953348,415,8346
2006-Jan-18 08:00:00,485.6798004,495.6306433,416,8345
2006-Jan-18 09:00:00,540.1693151,497.0142712,417,8344
2006-Jan-18 10:00:00,496.5452777,498.9624308,418,8343
2006-Jan-18 11:00:00,542.936872,500.0642897,419,8342
2006-Jan-18 12:00:00,445.0795557,500.7578218,420,8341
2006-Jan-18 13:00:00,518.8172016,501.2709268,421,8340
2006-Jan-18 14:00:00,244.4840297,502.1072005,422,8339
2006-Jan-18 15:00:00,316.0156465,503.7617716,423,8338
2006-Jan-18 16:00:00,251.2122763,506.3082877,424,8337
2006-Jan-18 17:00:00,364.502498,507.9374609,425,8336
2006-Jan-18 18:00:00,602.4606318,505.6089906,426,8335
2006-Jan-18 19:00:00,675.4234077,502.4487922,427,8334
2006-Jan-18 20:00:00,256.2393714,500.7589136,428,8333
2006-Jan-18 21:00:00,525.8136993,499.8867512,429,8332
2006-Jan-18 22:00:00,666.2006177,499.0321886,430,8331
2006-Jan-18 23:00:00,4.868438923,497.9451181,431,8330
2006-Jan-19 00:00:00,4.865269828,496.4188903,432,8329
2006-Jan-19 01:00:00,0.910345435,494.2658296,433,8328
2006-Jan-19 02:00:00,4.549918438,493.2513634,434,8327
2006-Jan-19 03:00:00,4.560715743,492.7991113,435,8326
2006-Jan-19 04:00:00,5.241216653,492.4868109,436,8325
2006-Jan-19 05:00:00,128.2478727,492.3953232,437,8324
2006-Jan-19 06:00:00,286.1689138,492.3057514,438,8323
2006-Jan-19 07:00:00,430.5289068,492.2422023,439,8322
