Datetime,Heating Demand (W),Cooling Demand (W),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-03 18:00:00,100758.2408,-501000.1132,66,8695
2006-Jan-03 19:00:00,145322.8873,-499203.4728,67,8694
2006-Jan-03 20:00:00,156323.9887,-498205.7205,68,8693
2006-Jan-03 21:00:00,170727.8313,-497392.848,69,8692
2006-Jan-03 22:00:00,172861.3246,-496732.7647,70,8691
2006-Jan-03 23:00:00,8716.177677,-495947.9792,71,8690
2006-Jan-04 00:00:00,8742.364844,-494840.2309,72,8689
2006-Jan-04 01:00:00,5000,-493406.0943,73,8688
2006-Jan-04 02:00:00,5000,-493045.4267,74,8687
2006-Jan-04 03:00:00,5000,-492418.232,75,8686
2006-Jan-04 04:00:00,5000,-491243.7034,76,8685
2006-Jan-04 05:00:00,19363.45612,-491048.6727,77,8684
2006-Jan-04 06:00:00,5000,-467147.199,78,8683
2006-Jan-04 07:00:00,391934.1593,-495455.1664,79,8682
2006-Jan-04 08:00:00,388967.3358,-493917.0084,80,8681
2006-Jan-04 09:00:00,152955.3523,-496365.8894,81,8680
2006-Jan-04 10:00:00,92950.36596,-498744.5969,82,8679
2006-Jan-04 11:00:00,68319.33229,-500086.3717,83,8678
2006-Jan-04 12:00:00,60652.23366,-500921.8151,84,8677
2006-Jan-04 13:00:00,74742.26821,-501397.2894,85,8676
2006-Jan-04 14:00:00,55594.13195,-502176.4615,86,8675
2006-Jan-04 15:00:00,40417.41574,-504896.7832,87,8674
2006-Jan-04 16:00:00,42648.72858,-508393.3434,88,8673
2006-Jan-04 17:00:00,55351.6976,-509448.7103,89,8672
2006-Jan-04 18:00:00,89934.07277,-509407.3868,90,8671
2006-Jan-04 19:00:00,230206.7397,-505469.9669,91,8670
2006-Jan-04 20:00:00,165260.9833,-501635.5953,92,8669
2006-Jan-04 21:00:00,310555.582,-500094.5711,93,8668
2006-Jan-04 22:00:00,389193.5652,-499295.4106,94,8667
2006-Jan-04 23:00:00,8719.34798,-498396.7247,95,8666
2006-Jan-05 00:00:00,8746.08319,-497067.435,96,8665
2006-Jan-05 01:00:00,5000,-496173.4533,97,8664
2006-Jan-05 02:00:00,5000,-495656.4846,98,8663
2006-Jan-05 03:00:00,5000,-494682.2755,99,8662
2006-Jan-05 04:00:00,5000,-494241.7362,100,8661
2006-Jan-05 05:00:00,17602.82766,-493555.8711,101,8660
2006-Jan-05 06:00:00,228190.2094,-493051.2772,102,8659
2006-Jan-05 07:00:00,367318.6456,-493322.2991,103,8658
2006-Jan-05 08:00:00,305929.1628,-494309.219,104,8657
2006-Jan-05 09:00:00,179568.9891,-497273.5272,105,8656
2006-Jan-05 10:00:00,76794.13046,-499544.8925,106,8655
2006-Jan-05 11:00:00,50939.2683,-500681.588,107,8654
2006-Jan-05 12:00:00,44816.35737,-501433.8887,108,8653
2006-Jan-05 13:00:00,50824.99937,-514015.9834,109,8652
2006-Jan-05 14:00:00,46105.31194,-597205.6027,110,8651
2006-Jan-05 15:00:00,30977.13026,-641316.5358,111,8650
2006-Jan-05 16:00:00,30306.91864,-674442.4027,112,8649
2006-Jan-05 17:00:00,38897.75046,-629691.4215,113,8648
2006-Jan-05 18:00:00,47707.07531,-515967.9245,114,8647
2006-Jan-05 19:00:00,83291.16724,-506503.532,115,8646
2006-Jan-05 20:00:00,104089.3331,-501975.9836,116,8645
2006-Jan-05 21:00:00,120945.8062,-499928.8619,117,8644
2006-Jan-05 22:00:00,128659.6007,-498822.9288,118,8643
2006-Jan-05 23:00:00,8722.948333,-498080.8408,119,8642
2006-Jan-06 00:00:00,8747.966898,-497241.3226,120,8641
2006-Jan-06 01:00:00,5000,-496093.9697,121,8640
2006-Jan-06 02:00:00,5000,-495203.9904,122,8639
2006-Jan-06 03:00:00,5000,-494752.4108,123,8638
2006-Jan-06 04:00:00,5000,-494035.1337,124,8637
2006-Jan-06 05:00:00,5000,-494128.9095,125,8636
2006-Jan-06 06:00:00,5000,-470960.7417,126,8635
2006-Jan-06 07:00:00,227435.0433,-498036.7358,127,8634
2006-Jan-06 08:00:00,190584.3601,-495501.6034,128,8633
2006-Jan-06 09:00:00,87652.17263,-497195.3699,129,8632
2006-Jan-06 10:00:00,48732.23217,-506126.9275,130,8631
2006-Jan-06 11:00:00,36331.31464,-628871.2762,131,8630
2006-Jan-06 12:00:00,40193.30264,-811960.9592,132,8629
2006-Jan-06 13:00:00,47665.61929,-922210.8889,133,8628
2006-Jan-06 14:00:00,45431.69586,-1036190.169,134,8627
2006-Jan-06 15:00:00,30442.99602,-1118689.837,135,8626
2006-Jan-06 16:00:00,29685.5398,-1055546.653,136,8625
2006-Jan-06 17:00:00,37923.39187,-982381.0629,137,8624
2006-Jan-06 18:00:00,26652.6359,-806260.7916,138,8623
2006-Jan-06 19:00:00,34889.49365,-704811.9607,139,8622
2006-Jan-06 20:00:00,38700.07772,-653256.2586,140,8621
2006-Jan-06 21:00:00,51652.63583,-653523.0311,141,8620
2006-Jan-06 22:00:00,57136.39012,-621626.3802,142,8619
2006-Jan-06 23:00:00,8730.644979,-530230.532,143,8618
2006-Jan-07 00:00:00,8747.016832,-528826.8856,144,8617
2006-Jan-07 01:00:00,5000,-519757.0976,145,8616
2006-Jan-07 02:00:00,5000,-500638.6696,146,8615
2006-Jan-07 03:00:00,5000,-516653.7089,147,8614
2006-Jan-07 04:00:00,5000,-509709.4848,148,8613
2006-Jan-07 05:00:00,5000,-514108.9135,149,8612
2006-Jan-07 06:00:00,5000,-474846.1122,150,8611
2006-Jan-07 07:00:00,114928.0219,-556796.0094,151,8610
2006-Jan-07 08:00:00,108953.5614,-560757.1107,152,8609
2006-Jan-07 09:00:00,56313.01864,-615875.0384,153,8608
2006-Jan-07 10:00:00,44045.4704,-729910.404,154,8607
2006-Jan-07 11:00:00,29905.29204,-853960.829,155,8606
2006-Jan-07 12:00:00,25975.32906,-931856.4381,156,8605
2006-Jan-07 13:00:00,23958.12178,-977152.2215,157,8604
2006-Jan-07 14:00:00,23037.10719,-993694.631,158,8603
2006-Jan-07 15:00:00,22263.86149,-983582.8468,159,8602
2006-Jan-07 16:00:00,25604.44553,-980396.683,160,8601
2006-Jan-07 17:00:00,33067.80095,-963007.0794,161,8600
2006-Jan-07 18:00:00,10234.21701,-946530.4706,162,8599
2006-Jan-07 19:00:00,10237.38454,-537114.8434,163,8598
2006-Jan-07 20:00:00,10238.62676,-530515.2531,164,8597
2006-Jan-07 21:00:00,10236.17457,-535937.9441,165,8596
2006-Jan-07 22:00:00,11739.86469,-526232.1277,166,8595
2006-Jan-07 23:00:00,8738.04086,-529259.3646,167,8594
2006-Jan-08 00:00:00,8743.127306,-520891.0312,168,8593
2006-Jan-08 01:00:00,5000,-522665.0377,169,8592
2006-Jan-08 02:00:00,5000,-512821.8556,170,8591
2006-Jan-08 03:00:00,5000,-511155.8802,171,8590
2006-Jan-08 04:00:00,5000,-506631.7712,172,8589
2006-Jan-08 05:00:00,5000,-562126.8751,173,8588
2006-Jan-08 06:00:00,5000,-505749.6666,174,8587
2006-Jan-08 07:00:00,10241.20611,-508659.0819,175,8586
2006-Jan-08 08:00:00,7987.618215,-477078.4054,176,8585
2006-Jan-08 09:00:00,7997.933161,-559653.624,177,8584
2006-Jan-08 10:00:00,8002.289987,-507860.0229,178,8583
2006-Jan-08 11:00:00,7994.317706,-538592.7359,179,8582
2006-Jan-08 12:00:00,9492.628788,-554455.0441,180,8581
2006-Jan-08 13:00:00,9485.797022,-515599.2626,181,8580
2006-Jan-08 14:00:00,11748.6089,-579730.4642,182,8579
2006-Jan-08 15:00:00,9494.261666,-585890.6051,183,8578
2006-Jan-08 16:00:00,7994.122503,-531049.7128,184,8577
2006-Jan-08 17:00:00,7986.793856,-563156.8668,185,8576
2006-Jan-08 18:00:00,7995.76987,-512304.7624,186,8575
2006-Jan-08 19:00:00,8001.889716,-571653.8121,187,8574
2006-Jan-08 20:00:00,7995.061307,-507805.0987,188,8573
2006-Jan-08 21:00:00,7987.025301,-508293.3328,189,8572
2006-Jan-08 22:00:00,10239.80329,-547096.6958,190,8571
2006-Jan-08 23:00:00,7996.005527,-504891.4196,191,8570
2006-Jan-09 00:00:00,8002.332009,-502388.4668,192,8569
2006-Jan-09 01:00:00,5000,-537183.8837,193,8568
2006-Jan-09 02:00:00,5000,-501642.5635,194,8567
2006-Jan-09 03:00:00,5000,-527253.216,195,8566
2006-Jan-09 04:00:00,5000,-519410.3768,196,8565
2006-Jan-09 05:00:00,5000,-539912.3458,197,8564
2006-Jan-09 06:00:00,5000,-525540.3809,198,8563
2006-Jan-09 07:00:00,83160.64883,-744253.8343,199,8562
2006-Jan-09 08:00:00,71389.97279,-796610.882,200,8561
2006-Jan-09 09:00:00,32313.46442,-960208.3944,201,8560
2006-Jan-09 10:00:00,33642.34295,-767294.7557,202,8559
2006-Jan-09 11:00:00,34910.52983,-553103.8074,203,8558
2006-Jan-09 12:00:00,40517.31378,-531975.0608,204,8557
2006-Jan-09 13:00:00,48319.08695,-543935.3888,205,8556
2006-Jan-09 14:00:00,45527.31757,-567153.9039,206,8555
2006-Jan-09 15:00:00,30500.02206,-558461.4886,207,8554
2006-Jan-09 16:00:00,29739.88867,-613450.5971,208,8553
2006-Jan-09 17:00:00,38251.98457,-612044.7646,209,8552
2006-Jan-09 18:00:00,39489.81096,-516406.4801,210,8551
2006-Jan-09 19:00:00,62046.93127,-505525.8978,211,8550
2006-Jan-09 20:00:00,88952.80396,-501489.1715,212,8549
2006-Jan-09 21:00:00,122753.4177,-499703.8233,213,8548
2006-Jan-09 22:00:00,134893.2035,-498746.5737,214,8547
2006-Jan-09 23:00:00,8739.441557,-498077.6766,215,8546
2006-Jan-10 00:00:00,8754.620015,-497255.8932,216,8545
2006-Jan-10 01:00:00,5000,-496133.3838,217,8544
2006-Jan-10 02:00:00,5000,-495433.3666,218,8543
2006-Jan-10 03:00:00,5000,-494803.5034,219,8542
2006-Jan-10 04:00:00,5000,-494382.2182,220,8541
2006-Jan-10 05:00:00,5000,-493905.1764,221,8540
2006-Jan-10 06:00:00,5000,-470746.7751,222,8539
2006-Jan-10 07:00:00,269088.0945,-498128.4264,223,8538
2006-Jan-10 08:00:00,194695.3983,-657184.6811,224,8537
2006-Jan-10 09:00:00,117450.6915,-511262.0283,225,8536
2006-Jan-10 10:00:00,75492.39417,-499843.8938,226,8535
2006-Jan-10 11:00:00,57977.85073,-501020.3927,227,8534
2006-Jan-10 12:00:00,52880.93456,-501754.3477,228,8533
2006-Jan-10 13:00:00,64503.17228,-502158.0079,229,8532
2006-Jan-10 14:00:00,50027.49891,-502713.0502,230,8531
2006-Jan-10 15:00:00,32326.38018,-504472.5498,231,8530
2006-Jan-10 16:00:00,31855.02663,-506063.7497,232,8529
2006-Jan-10 17:00:00,45416.95718,-506996.1236,233,8528
2006-Jan-10 18:00:00,68925.23408,-505570.7156,234,8527
2006-Jan-10 19:00:00,124731.7807,-502048.2623,235,8526
2006-Jan-10 20:00:00,148200.4028,-500275.5558,236,8525
2006-Jan-10 21:00:00,216617.628,-499967.9445,237,8524
2006-Jan-10 22:00:00,250377.0832,-511790.9883,238,8523
2006-Jan-10 23:00:00,8760.021846,-497971.5833,239,8522
2006-Jan-11 00:00:00,8739.102483,-496523.0384,240,8521
2006-Jan-11 01:00:00,5000,-495108.7728,241,8520
2006-Jan-11 02:00:00,5000,-494635.0968,242,8519
2006-Jan-11 03:00:00,5000,-493663.9519,243,8518
2006-Jan-11 04:00:00,5000,-493045.1313,244,8517
2006-Jan-11 05:00:00,60657.02659,-491573.6172,245,8516
2006-Jan-11 06:00:00,317101.7493,-491442.8127,246,8515
2006-Jan-11 07:00:00,407110.139,-492428.1582,247,8514
2006-Jan-11 08:00:00,467839.3658,-528371.7032,248,8513
2006-Jan-11 09:00:00,269062.8666,-499590.3661,249,8512
2006-Jan-11 10:00:00,137237.0678,-507931.144,250,8511
2006-Jan-11 11:00:00,82463.30144,-501117.7317,251,8510
2006-Jan-11 12:00:00,66350.88198,-501905.9956,252,8509
2006-Jan-11 13:00:00,67420.43583,-502424.4892,253,8508
2006-Jan-11 14:00:00,51398.94678,-503090.9154,254,8507
2006-Jan-11 15:00:00,34184.84309,-505499.2847,255,8506
2006-Jan-11 16:00:00,32287.29514,-509001.8048,256,8505
2006-Jan-11 17:00:00,44093.28641,-510032.0183,257,8504
2006-Jan-11 18:00:00,80952.96819,-509884.9792,258,8503
2006-Jan-11 19:00:00,192702.9195,-546702.4504,259,8502
2006-Jan-11 20:00:00,177636.4056,-563569.7887,260,8501
2006-Jan-11 21:00:00,324623.6081,-562592.06,261,8500
2006-Jan-11 22:00:00,471281.5904,-499650.3088,262,8499
2006-Jan-11 23:00:00,8764.931499,-498757.447,263,8498
2006-Jan-12 00:00:00,8738.283642,-497736.751,264,8497
2006-Jan-12 01:00:00,5000,-496637.8372,265,8496
2006-Jan-12 02:00:00,5000,-495353.9274,266,8495
2006-Jan-12 03:00:00,5000,-494667.2495,267,8494
2006-Jan-12 04:00:00,5000,-493439.4841,268,8493
2006-Jan-12 05:00:00,15029.37598,-493286.6182,269,8492
2006-Jan-12 06:00:00,229020.0482,-493334.3158,270,8491
2006-Jan-12 07:00:00,348520.782,-493535.4982,271,8490
2006-Jan-12 08:00:00,338678.9314,-494617.8277,272,8489
2006-Jan-12 09:00:00,141553.2943,-505285.6032,273,8488
2006-Jan-12 10:00:00,59530.126,-499565.8108,274,8487
2006-Jan-12 11:00:00,41235.19129,-500862.888,275,8486
2006-Jan-12 12:00:00,41331.91248,-514127.4206,276,8485
2006-Jan-12 13:00:00,49822.85918,-563593.8303,277,8484
2006-Jan-12 14:00:00,46256.36659,-637566.286,278,8483
2006-Jan-12 15:00:00,30924.30433,-658297.7505,279,8482
2006-Jan-12 16:00:00,30506.46777,-617474.069,280,8481
2006-Jan-12 17:00:00,39288.00727,-566608.7637,281,8480
2006-Jan-12 18:00:00,52641.04708,-508802.8361,282,8479
2006-Jan-12 19:00:00,90973.76167,-501142.4682,283,8478
2006-Jan-12 20:00:00,105909.0087,-499592.739,284,8477
2006-Jan-12 21:00:00,125024.1264,-498550.9475,285,8476
2006-Jan-12 22:00:00,131137.1877,-497840.7291,286,8475
2006-Jan-12 23:00:00,8753.010504,-497242.3909,287,8474
2006-Jan-13 00:00:00,8753.617044,-496459.823,288,8473
2006-Jan-13 01:00:00,5000,-495713.0858,289,8472
2006-Jan-13 02:00:00,5000,-495225.5632,290,8471
2006-Jan-13 03:00:00,5000,-494526.8471,291,8470
2006-Jan-13 04:00:00,5000,-494344.1302,292,8469
2006-Jan-13 05:00:00,5000,-493921.3988,293,8468
2006-Jan-13 06:00:00,5000,-471444.5846,294,8467
2006-Jan-13 07:00:00,211875.1754,-498366.0799,295,8466
2006-Jan-13 08:00:00,163968.8507,-495686.7344,296,8465
2006-Jan-13 09:00:00,61954.74454,-497379.362,297,8464
2006-Jan-13 10:00:00,42629.97455,-499391.9126,298,8463
2006-Jan-13 11:00:00,36685.5754,-500748.9055,299,8462
2006-Jan-13 12:00:00,41465.90182,-502145.4512,300,8461
2006-Jan-13 13:00:00,53579.03678,-502509.1066,301,8460
2006-Jan-13 14:00:00,47688.77435,-502674.8778,302,8459
2006-Jan-13 15:00:00,31455.5202,-515133.8478,303,8458
2006-Jan-13 16:00:00,30749.02383,-537618.672,304,8457
2006-Jan-13 17:00:00,39824.51095,-538752.6467,305,8456
2006-Jan-13 18:00:00,53370.29699,-512614.8244,306,8455
2006-Jan-13 19:00:00,85791.56068,-500879.8388,307,8454
2006-Jan-13 20:00:00,97151.92854,-499204.9225,308,8453
2006-Jan-13 21:00:00,114518.5823,-497969.8964,309,8452
2006-Jan-13 22:00:00,120739.9857,-497213.0093,310,8451
2006-Jan-13 23:00:00,8744.083562,-496595.8989,311,8450
2006-Jan-14 00:00:00,8765.617301,-495712.0323,312,8449
2006-Jan-14 01:00:00,5000,-495127.4606,313,8448
2006-Jan-14 02:00:00,5000,-494811.9915,314,8447
2006-Jan-14 03:00:00,5000,-494800.3248,315,8446
2006-Jan-14 04:00:00,5000,-493622.4963,316,8445
2006-Jan-14 05:00:00,5000,-493552.5049,317,8444
2006-Jan-14 06:00:00,5000,-471072.0577,318,8443
2006-Jan-14 07:00:00,198190.7632,-497607.8971,319,8442
2006-Jan-14 08:00:00,162025.4532,-494415.649,320,8441
2006-Jan-14 09:00:00,109267.8321,-494425.5536,321,8440
2006-Jan-14 10:00:00,85129.36751,-495373.2517,322,8439
2006-Jan-14 11:00:00,55457.09686,-508897.3747,323,8438
2006-Jan-14 12:00:00,42998.26771,-560563.6317,324,8437
2006-Jan-14 13:00:00,48458.14444,-639957.1219,325,8436
2006-Jan-14 14:00:00,41616.95948,-702544.4133,326,8435
2006-Jan-14 15:00:00,39690.04927,-739688.4843,327,8434
2006-Jan-14 16:00:00,42036.48553,-734945.1626,328,8433
2006-Jan-14 17:00:00,55301.23057,-722414.4312,329,8432
2006-Jan-14 18:00:00,10260.37177,-688159.8573,330,8431
2006-Jan-14 19:00:00,10262.04045,-507102.8741,331,8430
2006-Jan-14 20:00:00,10261.25319,-505667.7043,332,8429
2006-Jan-14 21:00:00,10261.42325,-510867.0771,333,8428
2006-Jan-14 22:00:00,11758.26127,-508680.9319,334,8427
2006-Jan-14 23:00:00,8765.865271,-509410.1609,335,8426
2006-Jan-15 00:00:00,8749.264097,-504495.0117,336,8425
2006-Jan-15 01:00:00,5000,-507088.6302,337,8424
2006-Jan-15 02:00:00,5000,-502536.3656,338,8423
2006-Jan-15 03:00:00,5000,-502590.1502,339,8422
2006-Jan-15 04:00:00,5000,-499944.312,340,8421
2006-Jan-15 05:00:00,5000,-500571.6702,341,8420
2006-Jan-15 06:00:00,5000,-499064.6942,342,8419
2006-Jan-15 07:00:00,10262.32022,-500405.5135,343,8418
2006-Jan-15 08:00:00,8004.381341,-472724.402,344,8417
2006-Jan-15 09:00:00,8015.89886,-505737.5886,345,8416
2006-Jan-15 10:00:00,8007.797148,-500440.1911,346,8415
2006-Jan-15 11:00:00,8001.510101,-505386.797,347,8414
2006-Jan-15 12:00:00,9514.727018,-506437.6448,348,8413
2006-Jan-15 13:00:00,9509.513783,-512320.5037,349,8412
2006-Jan-15 14:00:00,11762.51047,-536241.6497,350,8411
2006-Jan-15 15:00:00,9519.139484,-563647.6807,351,8410
2006-Jan-15 16:00:00,8000.727258,-511693.6654,352,8409
2006-Jan-15 17:00:00,8006.029738,-513693.897,353,8408
2006-Jan-15 18:00:00,8012.872771,-508744.8706,354,8407
2006-Jan-15 19:00:00,8008.159248,-506730.7766,355,8406
2006-Jan-15 20:00:00,8001.132192,-502223.1479,356,8405
2006-Jan-15 21:00:00,8004.441221,-503075.3012,357,8404
2006-Jan-15 22:00:00,10263.64734,-501396.2659,358,8403
2006-Jan-15 23:00:00,8015.456769,-502586.3569,359,8402
2006-Jan-16 00:00:00,8007.873133,-499105.1074,360,8401
2006-Jan-16 01:00:00,5000,-497158.3642,361,8400
2006-Jan-16 02:00:00,5000,-502195.0422,362,8399
2006-Jan-16 03:00:00,5000,-504431.9909,363,8398
2006-Jan-16 04:00:00,5000,-495571.2722,364,8397
2006-Jan-16 05:00:00,5000,-496225.7534,365,8396
2006-Jan-16 06:00:00,5000,-473481.2739,366,8395
2006-Jan-16 07:00:00,129518.5538,-559604.1148,367,8394
2006-Jan-16 08:00:00,113518.5126,-551442.1744,368,8393
2006-Jan-16 09:00:00,37875.1766,-614302.8188,369,8392
2006-Jan-16 10:00:00,35346.54334,-700462.5275,370,8391
2006-Jan-16 11:00:00,35263.24703,-702891.7832,371,8390
2006-Jan-16 12:00:00,40527.85514,-693862.0821,372,8389
2006-Jan-16 13:00:00,48503.67706,-678003.0725,373,8388
2006-Jan-16 14:00:00,45694.23014,-704609.7842,374,8387
2006-Jan-16 15:00:00,30594.16513,-720695.6265,375,8386
2006-Jan-16 16:00:00,29883.73684,-722379.2496,376,8385
2006-Jan-16 17:00:00,38375.1913,-716563.1831,377,8384
2006-Jan-16 18:00:00,31715.33652,-636745.1581,378,8383
2006-Jan-16 19:00:00,43263.4592,-605347.7154,379,8382
2006-Jan-16 20:00:00,47718.70037,-589609.6324,380,8381
2006-Jan-16 21:00:00,56437.55157,-579177.994,381,8380
2006-Jan-16 22:00:00,56494.29037,-578384.6439,382,8379
2006-Jan-16 23:00:00,8772.384488,-538592.3745,383,8378
2006-Jan-17 00:00:00,8748.690491,-524990.0779,384,8377
2006-Jan-17 01:00:00,5000,-526168.474,385,8376
2006-Jan-17 02:00:00,5000,-510046.9372,386,8375
2006-Jan-17 03:00:00,5000,-508388.4435,387,8374
2006-Jan-17 04:00:00,5000,-504937.7424,388,8373
2006-Jan-17 05:00:00,5000,-506294.6258,389,8372
2006-Jan-17 06:00:00,5000,-475047.6537,390,8371
2006-Jan-17 07:00:00,145674.4192,-500382.1553,391,8370
2006-Jan-17 08:00:00,123765.7711,-496491.0813,392,8369
2006-Jan-17 09:00:00,51850.12381,-497722.6496,393,8368
2006-Jan-17 10:00:00,44221.05629,-499483.3362,394,8367
2006-Jan-17 11:00:00,40394.04406,-500741.3243,395,8366
2006-Jan-17 12:00:00,42810.56994,-501529.5641,396,8365
2006-Jan-17 13:00:00,48931.91807,-502057.5652,397,8364
2006-Jan-17 14:00:00,46335.2934,-502792.0577,398,8363
2006-Jan-17 15:00:00,31037.96447,-503497.9782,399,8362
2006-Jan-17 16:00:00,30324.20658,-504878.7537,400,8361
2006-Jan-17 17:00:00,39037.69912,-506035.9154,401,8360
2006-Jan-17 18:00:00,46575.78554,-503291.4866,402,8359
2006-Jan-17 19:00:00,70001.41489,-500647.492,403,8358
2006-Jan-17 20:00:00,83888.6152,-499086.8208,404,8357
2006-Jan-17 21:00:00,96416.78366,-510433.2206,405,8356
2006-Jan-17 22:00:00,95621.59062,-506242.5212,406,8355
2006-Jan-17 23:00:00,8750.154525,-496544.933,407,8354
2006-Jan-18 00:00:00,8773.859137,-495911.6498,408,8353
2006-Jan-18 01:00:00,5000,-495263.8237,409,8352
2006-Jan-18 02:00:00,5000,-494825.3946,410,8351
2006-Jan-18 03:00:00,5000,-494133.7629,411,8350
2006-Jan-18 04:00:00,5000,-492935.484,412,8349
2006-Jan-18 05:00:00,6566.872297,-492477.2157,413,8348
2006-Jan-18 06:00:00,5000,-468390.1169,414,8347
2006-Jan-18 07:00:00,318073.1417,-495998.7704,415,8346
2006-Jan-18 08:00:00,220492.1211,-494315.3101,416,8345
2006-Jan-18 09:00:00,147018.2255,-496861.9985,417,8344
2006-Jan-18 10:00:00,105112.3161,-498920.3386,418,8343
2006-Jan-18 11:00:00,84082.94694,-500037.838,419,8342
2006-Jan-18 12:00:00,78180.09864,-500763.3871,420,8341
2006-Jan-18 13:00:00,84845.60915,-501179.9267,421,8340
2006-Jan-18 14:00:00,64191.60861,-501849.987,422,8339
2006-Jan-18 15:00:00,43321.08161,-504063.8807,423,8338
2006-Jan-18 16:00:00,46726.04195,-507163.2083,424,8337
2006-Jan-18 17:00:00,65154.23253,-508166.4974,425,8336
2006-Jan-18 18:00:00,130018.2861,-505462.2391,426,8335
2006-Jan-18 19:00:00,196615.2404,-526871.7297,427,8334
2006-Jan-18 20:00:00,284323.0259,-537074.5925,428,8333
2006-Jan-18 21:00:00,372553.8198,-499538.7588,429,8332
2006-Jan-18 22:00:00,361976.8013,-564031.8832,430,8331
