Datetime,Heating Demand (W),Cooling Demand (W),Electricity Consumption (kWh),Natural Gas Consumption (Therms)
2006-Jan-03 18:00:00,1007582.408,-5010001.132,66,8695
2006-Jan-03 19:00:00,1453228.873,-4992034.728,67,8694
2006-Jan-03 20:00:00,1563239.887,-4982057.205,68,8693
2006-Jan-03 21:00:00,1707278.313,-4973928.48,69,8692
2006-Jan-03 22:00:00,1728613.246,-4967327.647,70,8691
2006-Jan-03 23:00:00,87161.77677,-4959479.792,71,8690
2006-Jan-04 00:00:00,87423.64844,-4948402.309,72,8689
2006-Jan-04 01:00:00,50000,-4934060.943,73,8688
2006-Jan-04 02:00:00,50000,-4930454.267,74,8687
2006-Jan-04 03:00:00,50000,-4924182.32,75,8686
2006-Jan-04 04:00:00,50000,-4912437.034,76,8685
2006-Jan-04 05:00:00,193634.5612,-4910486.727,77,8684
2006-Jan-04 06:00:00,50000,-4671471.99,78,8683
2006-Jan-04 07:00:00,3919341.593,-4954551.664,79,8682
2006-Jan-04 08:00:00,3889673.358,-4939170.084,80,8681
2006-Jan-04 09:00:00,1529553.523,-4963658.894,81,8680
2006-Jan-04 10:00:00,929503.6596,-4987445.969,82,8679
2006-Jan-04 11:00:00,683193.3229,-5000863.717,83,8678
2006-Jan-04 12:00:00,606522.3366,-5009218.151,84,8677
2006-Jan-04 13:00:00,747422.6821,-5013972.894,85,8676
2006-Jan-04 14:00:00,555941.3195,-5021764.615,86,8675
2006-Jan-04 15:00:00,404174.1574,-5048967.832,87,8674
2006-Jan-04 16:00:00,426487.2858,-5083933.434,88,8673
2006-Jan-04 17:00:00,553516.976,-5094487.103,89,8672
2006-Jan-04 18:00:00,899340.7277,-5094073.868,90,8671
2006-Jan-04 19:00:00,2302067.397,-5054699.669,91,8670
2006-Jan-04 20:00:00,1652609.833,-5016355.953,92,8669
2006-Jan-04 21:00:00,3105555.82,-5000945.711,93,8668
2006-Jan-04 22:00:00,3891935.652,-4992954.106,94,8667
2006-Jan-04 23:00:00,87193.4798,-4983967.247,95,8666
2006-Jan-05 00:00:00,87460.8319,-4970674.35,96,8665
2006-Jan-05 01:00:00,50000,-4961734.533,97,8664
2006-Jan-05 02:00:00,50000,-4956564.846,98,8663
2006-Jan-05 03:00:00,50000,-4946822.755,99,8662
2006-Jan-05 04:00:00,50000,-4942417.362,100,8661
2006-Jan-05 05:00:00,176028.2766,-4935558.711,101,8660
2006-Jan-05 06:00:00,2281902.094,-4930512.772,102,8659
2006-Jan-05 07:00:00,3673186.456,-4933222.991,103,8658
2006-Jan-05 08:00:00,3059291.628,-4943092.19,104,8657
2006-Jan-05 09:00:00,1795689.891,-4972735.272,105,8656
2006-Jan-05 10:00:00,767941.3046,-4995448.925,106,8655
2006-Jan-05 11:00:00,509392.683,-5006815.88,107,8654
2006-Jan-05 12:00:00,448163.5737,-5014338.887,108,8653
2006-Jan-05 13:00:00,508249.9937,-5140159.834,109,8652
2006-Jan-05 14:00:00,461053.1194,-5972056.027,110,8651
2006-Jan-05 15:00:00,309771.3026,-6413165.358,111,8650
2006-Jan-05 16:00:00,303069.1864,-6744424.027,112,8649
2006-Jan-05 17:00:00,388977.5046,-6296914.215,113,8648
2006-Jan-05 18:00:00,477070.7531,-5159679.245,114,8647
2006-Jan-05 19:00:00,832911.6724,-5065035.32,115,8646
2006-Jan-05 20:00:00,1040893.331,-5019759.836,116,8645
2006-Jan-05 21:00:00,1209458.062,-4999288.619,117,8644
2006-Jan-05 22:00:00,1286596.007,-4988229.288,118,8643
2006-Jan-05 23:00:00,87229.48333,-4980808.408,119,8642
2006-Jan-06 00:00:00,87479.66898,-4972413.226,120,8641
2006-Jan-06 01:00:00,50000,-4960939.697,121,8640
2006-Jan-06 02:00:00,50000,-4952039.904,122,8639
2006-Jan-06 03:00:00,50000,-4947524.108,123,8638
2006-Jan-06 04:00:00,50000,-4940351.337,124,8637
2006-Jan-06 05:00:00,50000,-4941289.095,125,8636
2006-Jan-06 06:00:00,50000,-4709607.417,126,8635
2006-Jan-06 07:00:00,2274350.433,-4980367.358,127,8634
2006-Jan-06 08:00:00,1905843.601,-4955016.034,128,8633
2006-Jan-06 09:00:00,876521.7263,-4971953.699,129,8632
2006-Jan-06 10:00:00,487322.3217,-5061269.275,130,8631
2006-Jan-06 11:00:00,363313.1464,-6288712.762,131,8630
2006-Jan-06 12:00:00,401933.0264,-8119609.592,132,8629
2006-Jan-06 13:00:00,476656.1929,-9222108.889,133,8628
2006-Jan-06 14:00:00,454316.9586,-10361901.69,134,8627
2006-Jan-06 15:00:00,304429.9602,-11186898.37,135,8626
2006-Jan-06 16:00:00,296855.398,-10555466.53,136,8625
2006-Jan-06 17:00:00,379233.9187,-9823810.629,137,8624
2006-Jan-06 18:00:00,266526.359,-8062607.916,138,8623
2006-Jan-06 19:00:00,348894.9365,-7048119.607,139,8622
2006-Jan-06 20:00:00,387000.7772,-6532562.586,140,8621
2006-Jan-06 21:00:00,516526.3583,-6535230.311,141,8620
2006-Jan-06 22:00:00,571363.9012,-6216263.802,142,8619
2006-Jan-06 23:00:00,87306.44979,-5302305.32,143,8618
2006-Jan-07 00:00:00,87470.16832,-5288268.856,144,8617
2006-Jan-07 01:00:00,50000,-5197570.976,145,8616
2006-Jan-07 02:00:00,50000,-5006386.696,146,8615
2006-Jan-07 03:00:00,50000,-5166537.089,147,8614
2006-Jan-07 04:00:00,50000,-5097094.848,148,8613
2006-Jan-07 05:00:00,50000,-5141089.135,149,8612
2006-Jan-07 06:00:00,50000,-4748461.122,150,8611
2006-Jan-07 07:00:00,1149280.219,-5567960.094,151,8610
2006-Jan-07 08:00:00,1089535.614,-5607571.107,152,8609
2006-Jan-07 09:00:00,563130.1864,-6158750.384,153,8608
2006-Jan-07 10:00:00,440454.704,-7299104.04,154,8607
2006-Jan-07 11:00:00,299052.9204,-8539608.29,155,8606
2006-Jan-07 12:00:00,259753.2906,-9318564.381,156,8605
2006-Jan-07 13:00:00,239581.2178,-9771522.215,157,8604
2006-Jan-07 14:00:00,230371.0719,-9936946.31,158,8603
2006-Jan-07 15:00:00,222638.6149,-9835828.468,159,8602
2006-Jan-07 16:00:00,256044.4553,-9803966.83,160,8601
2006-Jan-07 17:00:00,330678.0095,-9630070.794,161,8600
2006-Jan-07 18:00:00,102342.1701,-9465304.706,162,8599
2006-Jan-07 19:00:00,102373.8454,-5371148.434,163,8598
2006-Jan-07 20:00:00,102386.2676,-5305152.531,164,8597
2006-Jan-07 21:00:00,102361.7457,-5359379.441,165,8596
2006-Jan-07 22:00:00,117398.6469,-5262321.277,166,8595
2006-Jan-07 23:00:00,87380.4086,-5292593.646,167,8594
2006-Jan-08 00:00:00,87431.27306,-5208910.312,168,8593
2006-Jan-08 01:00:00,50000,-5226650.377,169,8592
2006-Jan-08 02:00:00,50000,-5128218.556,170,8591
2006-Jan-08 03:00:00,50000,-5111558.802,171,8590
2006-Jan-08 04:00:00,50000,-5066317.712,172,8589
2006-Jan-08 05:00:00,50000,-5621268.751,173,8588
2006-Jan-08 06:00:00,50000,-5057496.666,174,8587
2006-Jan-08 07:00:00,102412.0611,-5086590.819,175,8586
2006-Jan-08 08:00:00,79876.18215,-4770784.054,176,8585
2006-Jan-08 09:00:00,79979.33161,-5596536.24,177,8584
2006-Jan-08 10:00:00,80022.89987,-5078600.229,178,8583
2006-Jan-08 11:00:00,79943.17706,-5385927.359,179,8582
2006-Jan-08 12:00:00,94926.28788,-5544550.441,180,8581
2006-Jan-08 13:00:00,94857.97022,-5155992.626,181,8580
2006-Jan-08 14:00:00,117486.089,-5797304.642,182,8579
2006-Jan-08 15:00:00,94942.61666,-5858906.051,183,8578
2006-Jan-08 16:00:00,79941.22503,-5310497.128,184,8577
2006-Jan-08 17:00:00,79867.93856,-5631568.668,185,8576
2006-Jan-08 18:00:00,79957.6987,-5123047.624,186,8575
2006-Jan-08 19:00:00,80018.89716,-5716538.121,187,8574
2006-Jan-08 20:00:00,79950.61307,-5078050.987,188,8573
2006-Jan-08 21:00:00,79870.25301,-5082933.328,189,8572
2006-Jan-08 22:00:00,102398.0329,-5470966.958,190,8571
2006-Jan-08 23:00:00,79960.05527,-5048914.196,191,8570
2006-Jan-09 00:00:00,80023.32009,-5023884.668,192,8569
2006-Jan-09 01:00:00,50000,-5371838.837,193,8568
2006-Jan-09 02:00:00,50000,-5016425.635,194,8567
2006-Jan-09 03:00:00,50000,-5272532.16,195,8566
2006-Jan-09 04:00:00,50000,-5194103.768,196,8565
2006-Jan-09 05:00:00,50000,-5399123.458,197,8564
2006-Jan-09 06:00:00,50000,-5255403.809,198,8563
2006-Jan-09 07:00:00,831606.4883,-7442538.343,199,8562
2006-Jan-09 08:00:00,713899.7279,-7966108.82,200,8561
2006-Jan-09 09:00:00,323134.6442,-9602083.944,201,8560
2006-Jan-09 10:00:00,336423.4295,-7672947.557,202,8559
2006-Jan-09 11:00:00,349105.2983,-5531038.074,203,8558
2006-Jan-09 12:00:00,405173.1378,-5319750.608,204,8557
2006-Jan-09 13:00:00,483190.8695,-5439353.888,205,8556
2006-Jan-09 14:00:00,455273.1757,-5671539.039,206,8555
2006-Jan-09 15:00:00,305000.2206,-5584614.886,207,8554
2006-Jan-09 16:00:00,297398.8867,-6134505.971,208,8553
2006-Jan-09 17:00:00,382519.8457,-6120447.646,209,8552
2006-Jan-09 18:00:00,394898.1096,-5164064.801,210,8551
2006-Jan-09 19:00:00,620469.3127,-5055258.978,211,8550
2006-Jan-09 20:00:00,889528.0396,-5014891.715,212,8549
2006-Jan-09 21:00:00,1227534.177,-4997038.233,213,8548
2006-Jan-09 22:00:00,1348932.035,-4987465.737,214,8547
2006-Jan-09 23:00:00,87394.41557,-4980776.766,215,8546
2006-Jan-10 00:00:00,87546.20015,-4972558.932,216,8545
2006-Jan-10 01:00:00,50000,-4961333.838,217,8544
2006-Jan-10 02:00:00,50000,-4954333.666,218,8543
2006-Jan-10 03:00:00,50000,-4948035.034,219,8542
2006-Jan-10 04:00:00,50000,-4943822.182,220,8541
2006-Jan-10 05:00:00,50000,-4939051.764,221,8540
2006-Jan-10 06:00:00,50000,-4707467.751,222,8539
2006-Jan-10 07:00:00,2690880.945,-4981284.264,223,8538
2006-Jan-10 08:00:00,1946953.983,-6571846.811,224,8537
2006-Jan-10 09:00:00,1174506.915,-5112620.283,225,8536
2006-Jan-10 10:00:00,754923.9417,-4998438.938,226,8535
2006-Jan-10 11:00:00,579778.5073,-5010203.927,227,8534
2006-Jan-10 12:00:00,528809.3456,-5017543.477,228,8533
2006-Jan-10 13:00:00,645031.7228,-5021580.079,229,8532
2006-Jan-10 14:00:00,500274.9891,-5027130.502,230,8531
2006-Jan-10 15:00:00,323263.8018,-5044725.498,231,8530
2006-Jan-10 16:00:00,318550.2663,-5060637.497,232,8529
2006-Jan-10 17:00:00,454169.5718,-5069961.236,233,8528
2006-Jan-10 18:00:00,689252.3408,-5055707.156,234,8527
2006-Jan-10 19:00:00,1247317.807,-5020482.623,235,8526
2006-Jan-10 20:00:00,1482004.028,-5002755.558,236,8525
2006-Jan-10 21:00:00,2166176.28,-4999679.445,237,8524
2006-Jan-10 22:00:00,2503770.832,-5117909.883,238,8523
2006-Jan-10 23:00:00,87600.21846,-4979715.833,239,8522
2006-Jan-11 00:00:00,87391.02483,-4965230.384,240,8521
2006-Jan-11 01:00:00,50000,-4951087.728,241,8520
2006-Jan-11 02:00:00,50000,-4946350.968,242,8519
2006-Jan-11 03:00:00,50000,-4936639.519,243,8518
2006-Jan-11 04:00:00,50000,-4930451.313,244,8517
2006-Jan-11 05:00:00,606570.2659,-4915736.172,245,8516
2006-Jan-11 06:00:00,3171017.493,-4914428.127,246,8515
2006-Jan-11 07:00:00,4071101.39,-4924281.582,247,8514
2006-Jan-11 08:00:00,4678393.658,-5283717.032,248,8513
2006-Jan-11 09:00:00,2690628.666,-4995903.661,249,8512
2006-Jan-11 10:00:00,1372370.678,-5079311.44,250,8511
2006-Jan-11 11:00:00,824633.0144,-5011177.317,251,8510
2006-Jan-11 12:00:00,663508.8198,-5019059.956,252,8509
2006-Jan-11 13:00:00,674204.3583,-5024244.892,253,8508
2006-Jan-11 14:00:00,513989.4678,-5030909.154,254,8507
2006-Jan-11 15:00:00,341848.4309,-5054992.847,255,8506
2006-Jan-11 16:00:00,322872.9514,-5090018.048,256,8505
2006-Jan-11 17:00:00,440932.8641,-5100320.183,257,8504
2006-Jan-11 18:00:00,809529.6819,-5098849.792,258,8503
2006-Jan-11 19:00:00,1927029.195,-5467024.504,259,8502
2006-Jan-11 20:00:00,1776364.056,-5635697.887,260,8501
2006-Jan-11 21:00:00,3246236.081,-5625920.6,261,8500
2006-Jan-11 22:00:00,4712815.904,-4996503.088,262,8499
2006-Jan-11 23:00:00,87649.31499,-4987574.47,263,8498
2006-Jan-12 00:00:00,87382.83642,-4977367.51,264,8497
2006-Jan-12 01:00:00,50000,-4966378.372,265,8496
2006-Jan-12 02:00:00,50000,-4953539.274,266,8495
2006-Jan-12 03:00:00,50000,-4946672.495,267,8494
2006-Jan-12 04:00:00,50000,-4934394.841,268,8493
2006-Jan-12 05:00:00,150293.7598,-4932866.182,269,8492
2006-Jan-12 06:00:00,2290200.482,-4933343.158,270,8491
2006-Jan-12 07:00:00,3485207.82,-4935354.982,271,8490
2006-Jan-12 08:00:00,3386789.314,-4946178.277,272,8489
2006-Jan-12 09:00:00,1415532.943,-5052856.032,273,8488
2006-Jan-12 10:00:00,595301.26,-4995658.108,274,8487
2006-Jan-12 11:00:00,412351.9129,-5008628.88,275,8486
2006-Jan-12 12:00:00,413319.1248,-5141274.206,276,8485
2006-Jan-12 13:00:00,498228.5918,-5635938.303,277,8484
2006-Jan-12 14:00:00,462563.6659,-6375662.86,278,8483
2006-Jan-12 15:00:00,309243.0433,-6582977.505,279,8482
2006-Jan-12 16:00:00,305064.6777,-6174740.69,280,8481
2006-Jan-12 17:00:00,392880.0727,-5666087.637,281,8480
2006-Jan-12 18:00:00,526410.4708,-5088028.361,282,8479
2006-Jan-12 19:00:00,909737.6167,-5011424.682,283,8478
2006-Jan-12 20:00:00,1059090.087,-4995927.39,284,8477
2006-Jan-12 21:00:00,1250241.264,-4985509.475,285,8476
2006-Jan-12 22:00:00,1311371.877,-4978407.291,286,8475
2006-Jan-12 23:00:00,87530.10504,-4972423.909,287,8474
2006-Jan-13 00:00:00,87536.17044,-4964598.23,288,8473
2006-Jan-13 01:00:00,50000,-4957130.858,289,8472
2006-Jan-13 02:00:00,50000,-4952255.632,290,8471
2006-Jan-13 03:00:00,50000,-4945268.471,291,8470
2006-Jan-13 04:00:00,50000,-4943441.302,292,8469
2006-Jan-13 05:00:00,50000,-4939213.988,293,8468
2006-Jan-13 06:00:00,50000,-4714445.846,294,8467
2006-Jan-13 07:00:00,2118751.754,-4983660.799,295,8466
2006-Jan-13 08:00:00,1639688.507,-4956867.344,296,8465
2006-Jan-13 09:00:00,619547.4454,-4973793.62,297,8464
2006-Jan-13 10:00:00,426299.7455,-4993919.126,298,8463
2006-Jan-13 11:00:00,366855.754,-5007489.055,299,8462
2006-Jan-13 12:00:00,414659.0182,-5021454.512,300,8461
2006-Jan-13 13:00:00,535790.3678,-5025091.066,301,8460
2006-Jan-13 14:00:00,476887.7435,-5026748.778,302,8459
2006-Jan-13 15:00:00,314555.202,-5151338.478,303,8458
2006-Jan-13 16:00:00,307490.2383,-5376186.72,304,8457
2006-Jan-13 17:00:00,398245.1095,-5387526.467,305,8456
2006-Jan-13 18:00:00,533702.9699,-5126148.244,306,8455
2006-Jan-13 19:00:00,857915.6068,-5008798.388,307,8454
2006-Jan-13 20:00:00,971519.2854,-4992049.225,308,8453
2006-Jan-13 21:00:00,1145185.823,-4979698.964,309,8452
2006-Jan-13 22:00:00,1207399.857,-4972130.093,310,8451
2006-Jan-13 23:00:00,87440.83562,-4965958.989,311,8450
2006-Jan-14 00:00:00,87656.17301,-4957120.323,312,8449
2006-Jan-14 01:00:00,50000,-4951274.606,313,8448
2006-Jan-14 02:00:00,50000,-4948119.915,314,8447
2006-Jan-14 03:00:00,50000,-4948003.248,315,8446
2006-Jan-14 04:00:00,50000,-4936224.963,316,8445
2006-Jan-14 05:00:00,50000,-4935525.049,317,8444
2006-Jan-14 06:00:00,50000,-4710720.577,318,8443
2006-Jan-14 07:00:00,1981907.632,-4976078.971,319,8442
2006-Jan-14 08:00:00,1620254.532,-4944156.49,320,8441
2006-Jan-14 09:00:00,1092678.321,-4944255.536,321,8440
2006-Jan-14 10:00:00,851293.6751,-4953732.517,322,8439
2006-Jan-14 11:00:00,554570.9686,-5088973.747,323,8438
2006-Jan-14 12:00:00,429982.6771,-5605636.317,324,8437
2006-Jan-14 13:00:00,484581.4444,-6399571.219,325,8436
2006-Jan-14 14:00:00,416169.5948,-7025444.133,326,8435
2006-Jan-14 15:00:00,396900.4927,-7396884.843,327,8434
2006-Jan-14 16:00:00,420364.8553,-7349451.626,328,8433
2006-Jan-14 17:00:00,553012.3057,-7224144.312,329,8432
2006-Jan-14 18:00:00,102603.7177,-6881598.573,330,8431
2006-Jan-14 19:00:00,102620.4045,-5071028.741,331,8430
2006-Jan-14 20:00:00,102612.5319,-5056677.043,332,8429
2006-Jan-14 21:00:00,102614.2325,-5108670.771,333,8428
2006-Jan-14 22:00:00,117582.6127,-5086809.319,334,8427
2006-Jan-14 23:00:00,87658.65271,-5094101.609,335,8426
2006-Jan-15 00:00:00,87492.64097,-5044950.117,336,8425
2006-Jan-15 01:00:00,50000,-5070886.302,337,8424
2006-Jan-15 02:00:00,50000,-5025363.656,338,8423
2006-Jan-15 03:00:00,50000,-5025901.502,339,8422
2006-Jan-15 04:00:00,50000,-4999443.12,340,8421
2006-Jan-15 05:00:00,50000,-5005716.702,341,8420
2006-Jan-15 06:00:00,50000,-4990646.942,342,8419
2006-Jan-15 07:00:00,102623.2022,-5004055.135,343,8418
2006-Jan-15 08:00:00,80043.81341,-4727244.02,344,8417
2006-Jan-15 09:00:00,80158.9886,-5057375.886,345,8416
2006-Jan-15 10:00:00,80077.97148,-5004401.911,346,8415
2006-Jan-15 11:00:00,80015.10101,-5053867.97,347,8414
2006-Jan-15 12:00:00,95147.27018,-5064376.448,348,8413
2006-Jan-15 13:00:00,95095.13783,-5123205.037,349,8412
2006-Jan-15 14:00:00,117625.1047,-5362416.497,350,8411
2006-Jan-15 15:00:00,95191.39484,-5636476.807,351,8410
2006-Jan-15 16:00:00,80007.27258,-5116936.654,352,8409
2006-Jan-15 17:00:00,80060.29738,-5136938.97,353,8408
2006-Jan-15 18:00:00,80128.72771,-5087448.706,354,8407
2006-Jan-15 19:00:00,80081.59248,-5067307.766,355,8406
2006-Jan-15 20:00:00,80011.32192,-5022231.479,356,8405
2006-Jan-15 21:00:00,80044.41221,-5030753.012,357,8404
2006-Jan-15 22:00:00,102636.4734,-5013962.659,358,8403
2006-Jan-15 23:00:00,80154.56769,-5025863.569,359,8402
2006-Jan-16 00:00:00,80078.73133,-4991051.074,360,8401
2006-Jan-16 01:00:00,50000,-4971583.642,361,8400
2006-Jan-16 02:00:00,50000,-5021950.422,362,8399
2006-Jan-16 03:00:00,50000,-5044319.909,363,8398
2006-Jan-16 04:00:00,50000,-4955712.722,364,8397
2006-Jan-16 05:00:00,50000,-4962257.534,365,8396
2006-Jan-16 06:00:00,50000,-4734812.739,366,8395
2006-Jan-16 07:00:00,1295185.538,-5596041.148,367,8394
2006-Jan-16 08:00:00,1135185.126,-5514421.744,368,8393
2006-Jan-16 09:00:00,378751.766,-6143028.188,369,8392
2006-Jan-16 10:00:00,353465.4334,-7004625.275,370,8391
2006-Jan-16 11:00:00,352632.4703,-7028917.832,371,8390
2006-Jan-16 12:00:00,405278.5514,-6938620.821,372,8389
2006-Jan-16 13:00:00,485036.7706,-6780030.725,373,8388
2006-Jan-16 14:00:00,456942.3014,-7046097.842,374,8387
2006-Jan-16 15:00:00,305941.6513,-7206956.265,375,8386
2006-Jan-16 16:00:00,298837.3684,-7223792.496,376,8385
2006-Jan-16 17:00:00,383751.913,-7165631.831,377,8384
2006-Jan-16 18:00:00,317153.3652,-6367451.581,378,8383
2006-Jan-16 19:00:00,432634.592,-6053477.154,379,8382
2006-Jan-16 20:00:00,477187.0037,-5896096.324,380,8381
2006-Jan-16 21:00:00,564375.5157,-5791779.94,381,8380
2006-Jan-16 22:00:00,564942.9037,-5783846.439,382,8379
2006-Jan-16 23:00:00,87723.84488,-5385923.745,383,8378
2006-Jan-17 00:00:00,87486.90491,-5249900.779,384,8377
2006-Jan-17 01:00:00,50000,-5261684.74,385,8376
2006-Jan-17 02:00:00,50000,-5100469.372,386,8375
2006-Jan-17 03:00:00,50000,-5083884.435,387,8374
2006-Jan-17 04:00:00,50000,-5049377.424,388,8373
2006-Jan-17 05:00:00,50000,-5062946.258,389,8372
2006-Jan-17 06:00:00,50000,-4750476.537,390,8371
2006-Jan-17 07:00:00,1456744.192,-5003821.553,391,8370
2006-Jan-17 08:00:00,1237657.711,-4964910.813,392,8369
2006-Jan-17 09:00:00,518501.2381,-4977226.496,393,8368
2006-Jan-17 10:00:00,442210.5629,-4994833.362,394,8367
2006-Jan-17 11:00:00,403940.4406,-5007413.243,395,8366
2006-Jan-17 12:00:00,428105.6994,-5015295.641,396,8365
2006-Jan-17 13:00:00,489319.1807,-5020575.652,397,8364
2006-Jan-17 14:00:00,463352.934,-5027920.577,398,8363
2006-Jan-17 15:00:00,310379.6447,-5034979.782,399,8362
2006-Jan-17 16:00:00,303242.0658,-5048787.537,400,8361
2006-Jan-17 17:00:00,390376.9912,-5060359.154,401,8360
2006-Jan-17 18:00:00,465757.8554,-5032914.866,402,8359
2006-Jan-17 19:00:00,700014.1489,-5006474.92,403,8358
2006-Jan-17 20:00:00,838886.152,-4990868.208,404,8357
2006-Jan-17 21:00:00,964167.8366,-5104332.206,405,8356
2006-Jan-17 22:00:00,956215.9062,-5062425.212,406,8355
2006-Jan-17 23:00:00,87501.54525,-4965449.33,407,8354
2006-Jan-18 00:00:00,87738.59137,-4959116.498,408,8353
2006-Jan-18 01:00:00,50000,-4952638.237,409,8352
2006-Jan-18 02:00:00,50000,-4948253.946,410,8351
2006-Jan-18 03:00:00,50000,-4941337.629,411,8350
2006-Jan-18 04:00:00,50000,-4929354.84,412,8349
2006-Jan-18 05:00:00,65668.72297,-4924772.157,413,8348
2006-Jan-18 06:00:00,50000,-4683901.169,414,8347
2006-Jan-18 07:00:00,3180731.417,-4959987.704,415,8346
2006-Jan-18 08:00:00,2204921.211,-4943153.101,416,8345
2006-Jan-18 09:00:00,1470182.255,-4968619.985,417,8344
2006-Jan-18 10:00:00,1051123.161,-4989203.386,418,8343
2006-Jan-18 11:00:00,840829.4694,-5000378.38,419,8342
2006-Jan-18 12:00:00,781800.9864,-5007633.871,420,8341
2006-Jan-18 13:00:00,848456.0915,-5011799.267,421,8340
2006-Jan-18 14:00:00,641916.0861,-5018499.87,422,8339
2006-Jan-18 15:00:00,433210.8161,-5040638.807,423,8338
2006-Jan-18 16:00:00,467260.4195,-5071632.083,424,8337
2006-Jan-18 17:00:00,651542.3253,-5081664.974,425,8336
2006-Jan-18 18:00:00,1300182.861,-5054622.391,426,8335
2006-Jan-18 19:00:00,1966152.404,-5268717.297,427,8334
2006-Jan-18 20:00:00,2843230.259,-5370745.925,428,8333
2006-Jan-18 21:00:00,3725538.198,-4995387.588,429,8332
